city,year,page,line_no,organization_name,category,sub_category,line,address,description
Kansas City,1874,44,8,HIGH SCHOOL,Uncategorized,,"HIGH SCHOOL.-C: S. Sheffield, Principal. Locust, south- east corner Eleventh.",,
Kansas City,1874,44,9,WASHINGTON SCHOOL,Uncategorized,,"WASHINGTON SCHOOL.-J. W. Perkins, Principal. Independence avenue, southwest corner Cherry.",,
Kansas City,1874,44,10,HUMBOLDT SCHOOL,Uncategorized,,"HUMBOLDT SCHOOL.-Mrs. A. J. Warren, Principal. Twelfth, northwest corner Locust.",,
Kansas City,1874,44,11,FRANKLIN SCHOOL,Uncategorized,,"FRANKLIN SCHOOL.-Fourteenth, northeast corner Wash- ington avenue.",,
Kansas City,1874,44,12,LATHROP SCHOOL,Uncategorized,,"LATHROP SCHOOL.-Mrs. Clara Hoffman, Principal. Eighth, southeast corner May.",,
Kansas City,1874,44,13,BENTON SCHOOL,Uncategorized,,"BENTON SCHOOL.-F. M. Furgason, Principal. Liberty, northeast corner Fourteenth, West Kansas.",,
Kansas City,1874,44,14,LINCOLN SCHOOL,Uncategorized,,"LINCOLN SCHOOL.-(Colored). J. D. Bowser, Principal. Ninth, southeast corner Charlotte.",,
Kansas City,1874,44,15,MORSE SCHOOL,Uncategorized,,"MORSE SCHOOL.-Miss E. M. Stratton, Principal. Char- lotte, southeast corner Twentieth.",,
Kansas City,1874,44,16,WOODLAND SCHOOL,Uncategorized,,"WOODLAND SCHOOL.-Miss B. Elizabeth Dinsmore, Principal. Eighth, corner Johnson.",,
Kansas City,1874,44,17,"KANSAS CITY, KANSAS, PUBLIC SCHOOL, No. 3",Uncategorized,,"KANSAS CITY, KANSAS, PUBLIC SCHOOL, No. 3.-J. S. Gibson, Principal. Kansas City, Kansas.",,
Kansas City,1874,44,18,SPALDING'S COMMERCIAL COLLEGE,Uncategorized,,"SPALDING'S COMMERCIAL COLLEGE-J. F. Spalding, A. M., President. Dry Goods Palace Building, 712 and 714 Main.",,
Kansas City,1874,44,19,ST. TERESA'S ACADEMY,Uncategorized,,"ST. TERESA'S ACADEMY. Sisters of St. Joseph in charge. Twelfth, northeast corner of Penn.",,
Kansas City,1874,44,1,JOURNAL OF COMMERCE,Uncategorized,,"JOURNAL OF COMMERCE.-Daily, Tri-weekly and Weekly. Published by the Journal Company. I. P. Moore, President and Business Manager; R. T. Van Horn, Vice President; James A. Mann, Secretary. South side Fifth, between Main and Delaware.",,
Kansas City,1874,44,2,KANSAS CITY MEDICAL JOURNAL,Uncategorized,,"KANSAS CITY MEDICAL JOURNAL. - Published Monthly. E. W. Schauffler, M. D., Editor. Office, 9 East Seventh.",,
Kansas City,1874,44,3,News Publishing Company,Uncategorized,,"KANSAS CITY NEWS.-Published Daily and Weekly by the News Publishing Company. Fifth, southwest corner of Walnut. J. A. Crinnian, President; George Hongland, Score- tary; E. A. Siceluff, Business Manager.",,
Kansas City,1874,44,4,Times Publishing Company,Uncategorized,,"KANSAS CITY TIMES.-Daily, Tri-Weekly and Weekly. Published by the Times Publishing Company. Amos Green, President; M. Munford, Secretary and Business Manager. Hart's Office Building.",,
Kansas City,1874,44,5,POST & TRIBUNE (GERMAN),Uncategorized,,"POST & TRIBUNE (GERMAN).-Daily. Wuerz & Lampe, Proprietors. 906 Main.",,
Kansas City,1874,44,6,THE CATTLE TRAIL,Uncategorized,,"THE CATTLE TRAIL-Published Weekly, by H. M. Dick- son, from News Office. Fifth, southwest corner Walnut.",,
Kansas City,1874,44,7,The Chronicle Publishing Company,Uncategorized,,"THE DAILY CHRONICLE.-The Chronicle Publishing Company, Proprietors. 13 Wost Missouri avenué.",,
Kansas City,1874,44,8,"Hicks, Huckett & Co.",Uncategorized,,"THE DAILY REPORTER.-Hicks, Huckett & Co., Propri- etors. 1 and 3 West Missouri avenue.",,
Kansas City,1874,44,9,UNSERE ZEIT (GERMAN WEEKLY),Uncategorized,,"UNSERE ZEIT (GERMAN WEEKLY). -Published by H. Scha- behorn, from 514 Main.",,
Kansas City,1874,44,10,WESTLICHE VOLKSZEITUNG (GERMAN WEEKLY),Uncategorized,,"WESTLICHE VOLKSZEITUNG (GERMAN WEEKLY).- Wuerz & Lampe, Publishers, 906 Main.",,
Kansas City,1874,44,12,KANSAS CITY COMMANDERY KNIGHTS TEMPLAR,Benevolent and Fraternal,,"KANSAS CITY COMMANDERY KNIGHTS TEMPLAR,",,
Kansas City,1874,46,2,KANSAS CITY R. A. CHAPTER No. 28,Benevolent and Fraternal,,"KANSAS CITY R. A. CHAPTER No. 28. Hold their regular Convocation, at Masonic Hall, on the first and third Thursdays of each month, at 7 P. M. W. M. Diveley, H. P.",,
Kansas City,1874,46,3,"HEROINE LODGE, No. 104, A. F. & A. M.",Benevolent and Fraternal,,"HEROINE LODGE, No. 104, A. F. & A. M.-Meets at Masonic Hall on the first and third Mondays in each month. H. P. White, W. M.",,
Kansas City,1874,46,4,"KANSAS CITY LODGE, No. 220 A. F. & A. M.",Benevolent and Fraternal,,"KANSAS CITY LODGE, No. 220 A. F. & A. M. Meets at Masonic Hall every second and fourth Mondays in each month. James C. Riggs, W. M.",,
Kansas City,1874,46,5,"RURAL LODGE, No. 316, A. F. & A. M.",Benevolent and Fraternal,,"RURAL LODGE, No. 316, A. F. & A. M. Meets at Masonic Hall every second and fourth Saturdays in each month. J. Johnson, W. M.",,
Kansas City,1874,46,6,"TEMPLE LODGE, No. 269, A. F. & A. M.",Benevolent and Fraternal,,"TEMPLE LODGE, No. 269, A. F. & A. M. Meets at Hall on Grand avenue, northwest corner Sixteenth, first and second Mondays in each month. Asa Maddox, W. M.",,
Kansas City,1874,46,7,"KING DAVID LODGE, No. 364, A. F. & A. M.",Benevolent and Fraternal,,"KING DAVID LODGE, No. 364, A. F. & A. M.-Hold their regular communications at Masonic Hall, Ninth street, West Kansas, second and fourth Wednesdays of each month, at 7 P. M. Charles Crouse, W. M.",,
